P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
01689080;646;2.01
01705005;117;3.55
01705010;925;3.56
01705015;678;3.2
01705020;349;6.05
01705025;646;3.95
01705030;312;1.61
01705035;143;4.59
01705040;853;1.64
01705045;594;4.81
01705050;294;2.98
01705055;550;1.88
01705060;593;3.39
01705065;452;2.55
01705070;830;4.41
01705075;628;1.54
01705080;626;2.76
01705085;446;2.12
01705090;460;1.19
01705095;532;3.38
01705100;793;1.86
01705105;288;1.75
01705110;792;3.29
01705115;172;3.74
01705120;399;1.67
01705125;1006;2.02
01705130;167;1.15
01705135;577;2.3
01705140;443;1.31
01705145;477;2.16
01705150;217;3.84
01705155;545;2.41
01705160;143;4.41
01705165;578;1.77
01705170;426;3.18
01705175;1492;4.09
01705180;1371;4.95
01723005;714;4.83
01723010;224;2.13
01723015;220;2.86
01723020;1038;1.88
01723025;711;1.32
01723030;219;4.37
01723035;132;4.96
01723040;333;1.12
01723045;490;0.98
01723055;499;3.38
01723060;463;3.61
01723065;780;2.94
01728005;326;4.3
01728010;341;5.62
01728015;300;4.63
01728020;177;4.46
01728025;1426;2.49
01728030;232;5.13
01728035;296;6.77
01728040;1395;5.64
01728045;146;2.11
01728050;423;5.67
01731005;78;4.09
01731010;276;3.89
01731015;802;4.87
01731020;371;5.99
01731025;255;5.26
01731035;131;2.09
01731045;130;4.29
01734005;204;3.69
01734010;557;1.64
01734015;144;3.07
01734020;883;2.86
01734025;178;1.51
01737005;243;4.07
01737010;981;5.68
01737015;100;5.36
01737020;806;4.89
01737025;232;1.33
01737030;254;2.56
01737035;261;0.94
01737040;257;3.89
01737045;220;3.79
01738020;554;2.04
01744005;197;2.52
01744010;539;3.2
01744015;343;3.06
01744020;325;1.79
01744025;107;1.6
01744030;654;1.16
01744035;491;3.68
01744040;200;1.78
01744045;223;2.13
01744050;280;2.1
01744055;489;2.02
01744060;336;4.34
01744065;349;4.24
01744070;305;2.82
01744075;81;1.2
01744080;272;1.2
01744085;813;1.34
01744090;206;0.8
01744095;488;1.73
01744100;322;0.86
01762005;278;1.22
01762010;271;1.02
01768005;1229;2.34
01768015;337;1.06
01768020;539;0.89
01768025;372;2.29
01768030;212;1.83
01768035;259;1.09
01768040;192;0.83
01768045;194;1.72
01768050;263;2.34
01773005;453;2.35
01773010;694;4.36
01773015;89;0.93
01773020;257;1.36
01773025;290;2.86
01773030;152;3.7
01773035;90;1.78
01773040;406;2.52
01773045;524;4.34
01774005;157;0.94
01774010;609;2.86
01774015;187;1.38
01774020;345;1.56
01774025;450;1.27
01774030;952;1.77
01774035;214;1.26
01774040;1;2.49
01774045;232;1.37
01776005;428;1.24
01778005;169;1.1
01778010;731;1.94
01778015;157;0.71
01778020;166;1.12
01778025;290;1.46
01796005;576;1.39
01796010;366;0.95
01796015;510;4.05
01796020;957;3.4
01796025;551;1.83
01796030;820;1.94
01796035;162;2.04
01796040;435;2.7
01796045;714;1.22
01796050;585;1.94
01796055;214;0.37
01796060;75;2.75
01796065;652;3.91
01796070;245;2.69
01796075;226;3.46
01796080;238;1.31
01796085;219;5.33
01796090;535;3.27
01796095;661;5.77
01796100;553;2.51
01796105;481;4.22
01796110;976;5.09
01796115;670;3.81
01796120;246;1.54
01796125;668;2.65
01796130;899;1.35
01796135;14;2.97
01796140;407;2.18
01796145;358;4.47
01796150;290;2.08
01796155;1024;2.35
01796160;560;2.19
01796165;209;1.96
01796170;1119;3.69
01796175;129;1.89
01796180;1178;3.09
01796190;187;2.12
01796195;297;1.61
01796200;500;2.94
01796205;223;4.65
01796210;1361;3.72
01796215;223;1.97
01796225;420;2.09
01796230;132;2.44
01796235;265;2.3
01796240;69;6.28
01796245;224;2.92
01809005;415;2.06
01809010;358;1.79
01809015;327;1.75
01809020;564;1.92
01809025;159;6.13
01809030;296;2.25
01809035;230;4.69
01809040;127;3.04
01809045;140;2.2
01809050;243;4.62
01809055;415;5.48
01809060;434;2.62
01809065;216;1.57
01809070;687;3.01
01809075;964;2.28
01809080;170;1.95
01809085;226;2.57
01809090;236;3.04
01809095;347;4.08
01809100;455;2.37
01809105;573;4.72
01809110;699;2.25
01809115;319;1.71
01809120;447;3.9
01809125;968;4.47
01809135;373;4.3
01809140;317;1.97
01809150;305;6.11
01809155;230;1.28
01809160;167;2.63
01809165;126;3.33
01809170;37;1.62
01809175;48;1.02
01809180;55;3.54
01814005;147;3.2
01814010;466;3.01
01814015;210;2.84
01814020;348;1.46
01814025;242;0.97
01814030;196;1.35
01814035;166;0.97
01814040;232;3.04
01814045;270;2.15
01814050;243;1.17
01814060;340;1.44
01814065;324;1.05
01814070;70;0.46
01814075;89;1.45
01816005;136;1.2
01816010;611;2.25
01816015;76;1.8
01816020;246;1.04
01816025;175;0.91
01816030;830;1.15
01816035;197;1.68
01816040;316;0.89
01816045;139;1.41
01816050;70;0.66
01819020;190;1.76
01819025;231;4.8
01819030;167;1.19
01819035;181;1.87
01819040;226;1.13
01824005;201;1.41
01824010;385;3.01
01824015;168;0.69
01824020;226;1.11
01824025;172;3.14
01824030;233;2.3
01824035;294;1.74
01824040;225;1.55
01824045;380;1.55
01824050;192;0.78
01824055;121;1.83
01824060;207;1.54
01824065;158;1.05
01824070;353;1.65
01825010;144;1.56
01825015;297;1.35
01825020;162;1.9
01825035;54;0.71
01829005;365;1.8
01829010;448;3.61
01833005;675;2.5
01833010;578;2.55
01833015;162;0.99
01833020;148;0.95
01833025;144;0.77
01833030;124;1.01
01833035;180;2.56
01833040;242;2.34
01833045;165;0.71
01833050;382;2.2
01833055;427;1.12
01833060;237;1.03
01833065;1218;2.51
01844005;351;0.83
01844010;1000;1.38
01844015;133;0.67
01844020;250;0.93
01844025;250;2.35
01844030;1035;2.27
01844035;1171;2.85
01844040;650;1.68
